code,label,LangCode
1,"usually adequate (> 15 litres ppp day), stable",EN
2,borderline adequate (15 litres ppp day); unstable,EN
3,"7.5-15 litres ppp day, accessed via asset stripping",EN
4,"< 7.5 litres ppp day (human usage only)",EN
5,"< 4 litres ppp day (human usage only)",EN
