code,label,LangCode
1A,Generally Food Secure 1A,EN
1B,Generally Food Secure 1B,EN
2,Moderately / Borderline Food Insecure,EN
3,Acute Food and Livelihood Crisis,EN
4,Humanitarian Emergency,EN
5,Famine / Humanitarian Catastrophe,EN
