code,label,LangCode
1,"< 0.5 / 10,000 / day",EN
2,"<0.5 / 10,000 / day; U5MR<1 / 10,000 / day",EN
3,"0.5-1 / 10,000 / day, U5MR 1-2 / 10,000 / dy",EN
4,"1-2 / 10,000 / day, >2x reference rate, increasing;",EN
5,"> 2 / 10,000 / day (example: 6,000 / 1,000,000 / 30 days)",EN
